horizon_h,lambda,provenance,n,n_positive,auc,baseline_valid_auc,oracle_auc,distance_to_oracle_auc,oracle_auc_leakage_proximity,oracle_score_pearson,future_auc,future_auc_gap,temporal_passed,forbidden_passed,forbidden_valid_feature_violations,early_window_plausible,matched_delta,audit_pass_candidate,output_classes
18,0.0,declared,4812,223,0.624873088014134,0.6248750423854275,1.0,0.375126911985866,-5.209920731199913e-06,0.06488578654281882,0.6569242886332788,0.03205120061914479,True,True,,True,0.024775953145408983,True,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
18,0.005,undeclared,4812,223,0.6421350724632017,0.6248750423854275,1.0,0.3578649275367983,0.04601141493632177,0.07477404365294316,0.6569242886332788,0.014789216170077113,True,True,,True,0.029106832313880185,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
18,0.005,declared,4812,223,0.6421350724632017,0.6248750423854275,1.0,0.3578649275367983,0.04601141493632177,0.07477404365294316,0.6569242886332788,0.014789216170077113,False,False,oracle_label_sentinel_score,False,0.029106832313880185,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
18,0.01,undeclared,4812,223,0.6592905436767783,0.6248750423854275,1.0,0.3407094563232217,0.09174409911353204,0.08473983051515196,0.6569242886332788,-0.002366255043499521,True,True,,True,0.03170955717191037,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
18,0.01,declared,4812,223,0.6592905436767783,0.6248750423854275,1.0,0.3407094563232217,0.09174409911353204,0.08473983051515196,0.6569242886332788,-0.002366255043499521,False,False,oracle_label_sentinel_score,False,0.03170955717191037,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
18,0.02,undeclared,4812,223,0.6926672966256803,0.6248750423854275,1.0,0.3073327033743197,0.18071912535850768,0.10489539212314318,0.6569242886332788,-0.03574300799240149,True,True,,True,0.04473981645595917,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
18,0.02,declared,4812,223,0.6926672966256803,0.6248750423854275,1.0,0.3073327033743197,0.18071912535850768,0.10489539212314318,0.6569242886332788,-0.03574300799240149,False,False,oracle_label_sentinel_score,False,0.04473981645595917,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
18,0.05,undeclared,4812,223,0.781883368984323,0.6248750423854275,1.0,0.21811663101567702,0.4185494017708519,0.16697523875603465,0.6569242886332788,-0.1249590803510442,True,True,,True,0.06903905764833591,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
18,0.05,declared,4812,223,0.781883368984323,0.6248750423854275,1.0,0.21811663101567702,0.4185494017708519,0.16697523875603465,0.6569242886332788,-0.1249590803510442,False,False,oracle_label_sentinel_score,False,0.06903905764833591,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
18,0.1,undeclared,4812,223,0.8884415550150633,0.6248750423854275,1.0,0.11155844498493672,0.7026099097902224,0.2743305030884024,0.6569242886332788,-0.2315172663817845,True,True,,True,0.08551235484285188,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
18,0.1,declared,4812,223,0.8884415550150633,0.6248750423854275,1.0,0.11155844498493672,0.7026099097902224,0.2743305030884024,0.6569242886332788,-0.2315172663817845,False,False,oracle_label_sentinel_score,False,0.08551235484285188,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
