horizon_h,bin_key,n,n_low,n_high,manifest_rate_low,manifest_rate_high,delta_high_minus_low
6,"(1, 1.0, 2.0, 2, 2.0)",24,11,13,0.2727272727272727,0.38461538461538464,0.11188811188811193
6,"(1, 2.0, 0.0, 0, 0.0)",27,8,19,0.0,0.0,0.0
6,"(1, 2.0, 0.0, 0, 2.0)",13,3,10,0.0,0.0,0.0
6,"(1, 2.0, 0.0, 1, 0.0)",21,12,9,0.08333333333333333,0.1111111111111111,0.027777777777777776
6,"(1, 2.0, 0.0, 1, 1.0)",11,8,3,0.0,0.0,0.0
6,"(1, 2.0, 0.0, 2, 0.0)",17,11,6,0.0,0.0,0.0
6,"(1, 2.0, 0.0, 2, 1.0)",24,16,8,0.125,0.125,0.0
6,"(1, 2.0, 0.0, 2, 2.0)",14,6,8,0.0,0.125,0.125
6,"(1, 2.0, 1.0, 0, 0.0)",18,9,9,0.0,0.0,0.0
6,"(1, 2.0, 1.0, 0, 1.0)",16,12,4,0.16666666666666666,0.25,0.08333333333333334
6,"(1, 2.0, 1.0, 0, 2.0)",14,7,7,0.0,0.0,0.0
6,"(1, 2.0, 1.0, 1, 0.0)",30,26,4,0.0,0.0,0.0
6,"(1, 2.0, 1.0, 1, 2.0)",20,14,6,0.07142857142857142,0.0,-0.07142857142857142
6,"(1, 2.0, 1.0, 2, 1.0)",32,28,4,0.0,0.25,0.25
6,"(1, 2.0, 1.0, 2, 2.0)",16,8,8,0.125,0.0,-0.125
6,"(1, 2.0, 2.0, 0, 0.0)",25,11,14,0.09090909090909091,0.07142857142857142,-0.019480519480519487
6,"(1, 2.0, 2.0, 0, 1.0)",17,7,10,0.14285714285714285,0.0,-0.14285714285714285
6,"(1, 2.0, 2.0, 0, 2.0)",18,3,15,0.0,0.2,0.2
6,"(1, 2.0, 2.0, 1, 0.0)",21,18,3,0.16666666666666666,0.0,-0.16666666666666666
6,"(1, 2.0, 2.0, 1, 2.0)",19,9,10,0.1111111111111111,0.0,-0.1111111111111111
6,"(1, 2.0, 2.0, 2, 0.0)",19,15,4,0.2,0.0,-0.2
6,"(1, 2.0, 2.0, 2, 1.0)",21,18,3,0.05555555555555555,0.0,-0.05555555555555555
6,"(1, 2.0, 2.0, 2, 2.0)",21,9,12,0.2222222222222222,0.25,0.02777777777777779
6,"(2, 0.0, 0.0, 0, 1.0)",20,3,17,0.0,0.0,0.0
6,"(2, 0.0, 0.0, 1, 1.0)",10,4,6,0.0,0.16666666666666666,0.16666666666666666
6,"(2, 0.0, 0.0, 2, 1.0)",19,6,13,0.16666666666666666,0.23076923076923078,0.06410256410256412
6,"(2, 0.0, 0.0, 2, 2.0)",29,3,26,0.0,0.07692307692307693,0.07692307692307693
6,"(2, 0.0, 1.0, 0, 1.0)",11,3,8,0.0,0.0,0.0
