start_date_time,MCORR_E,relative_to_median,z_positive,iris_radiation_proxy
2021-01-02 05:00:00,327.401,0.0022500045918461475,0.31484203106449754,0.08148420310644976
2021-01-02 06:00:00,326.827,0.0004928581486901035,0.06896539728079401,0.056896539728079405
2021-01-02 07:00:00,327.964,0.003973477496892856,0.5560067432948447,0.10560067432948447
2021-01-02 08:00:00,327.159,0.0015091867534423387,0.21117975689087462,0.07111797568908747
2021-01-02 09:00:00,327.174,0.0015551052145003808,0.2176051044636135,0.07176051044636135
2021-01-02 10:00:00,327.367,0.0021459227467811827,0.300277909899613,0.0800277909899613
2021-01-02 11:00:00,327.177,0.0015642889067121284,0.21889017397818075,0.07188901739781808
2021-01-02 12:00:00,328.367,0.005207153483986769,0.7286344147492616,0.12286344147492616
2021-01-02 13:00:00,327.838,0.003587762424005025,0.502033823683799,0.1002033823683799
2021-01-02 14:00:00,328.225,0.004772458719303588,0.6678077910606133,0.11678077910606133
2021-01-02 15:00:00,327.806,0.0034898030404143265,0.48832641552859357,0.09883264155285937
2021-01-02 16:00:00,328.08,0.00432858026240866,0.6056960978573976,0.11056960978573976
2021-01-02 17:00:00,328.083,0.004337763954620408,0.606981167371965,0.1106981167371965
2021-01-02 18:00:00,326.854,0.000575511378594614,0.08053102291172887,0.05805310229117289
2021-01-02 19:00:00,327.592,0.0028346996626523353,0.39665812349076934,0.08966581234907695
2021-01-02 20:00:00,328.171,0.004607152259494394,0.6446765397987192,0.11446765397987192
2021-01-02 21:00:00,327.37,0.002155106438992756,0.30156297941415594,0.0801562979414156
2021-01-02 22:00:00,327.777,0.0034010273490353757,0.4759040768879553,0.09759040768879554
2021-01-02 23:00:00,328.746,0.006367359933387571,0.8909815300872622,0.13909815300872622
2021-01-03 00:00:00,328.048,0.0042306208788181355,0.5919886897022165,0.10919886897022166
2021-01-03 01:00:00,326.771,0.0003214292274066422,0.04497743300922089,0.054497743300922094
2021-01-03 02:00:00,326.558,-0.0003306129196182158,0.0,0.05
2021-01-03 03:00:00,326.802,0.0004163273802600335,0.058256484659562534,0.05582564846595626
2021-01-03 04:00:00,326.952,0.0008755119908408018,0.12250996038700009,0.06225099603870001
2021-01-03 05:00:00,327.509,0.0025806175114643634,0.36110453358826133,0.08611045335882614
2021-01-03 06:00:00,326.997,0.0010132673740151019,0.1417860031052411,0.06417860031052411
2021-01-03 07:00:00,327.445,0.0023846987442831405,0.3336897172778747,0.08336897172778748
2021-01-03 08:00:00,327.01,0.0010530633735987035,0.14735463766827658,0.06473546376682766
2021-01-03 09:00:00,327.683,0.003113271659738069,0.43563856543209084,0.09356385654320909
2021-01-03 10:00:00,327.883,0.003725517807179151,0.5213098664020157,0.10213098664020157
2021-01-03 11:00:00,328.066,0.004285723032087751,0.5996991067894983,0.10996991067894983
2021-01-03 12:00:00,327.861,0.0036581707309606545,0.5118860232953272,0.10118860232953272
2021-01-03 13:00:00,327.986,0.004040824573111353,0.5654305864015332,0.10654305864015332
2021-01-03 14:00:00,329.266,0.007959199916734593,1.113726912609096,0.16137269126090958
2021-01-03 15:00:00,328.606,0.00593878763017883,0.8310116194083172,0.1331011619408317
2021-01-03 16:00:00,329.062,0.00733470884634463,1.0263421856197645,0.15263421856197645
2021-01-03 17:00:00,328.25,0.004848989487733658,0.6785167036818447,0.11785167036818446
2021-01-03 18:00:00,328.157,0.004564295029173484,0.6386795487308198,0.11386795487308198
2021-01-03 19:00:00,328.471,0.005525521480656104,0.7731834912536186,0.12731834912536188
2021-01-03 20:00:00,327.724,0.003238782119963488,0.4532011821309251,0.09532011821309251
2021-01-03 21:00:00,328.604,0.00593266516870439,0.8301549063986139,0.1330154906398614
2021-01-03 22:00:00,326.985,0.0009765326051686335,0.1366457250470451,0.06366457250470452
2021-01-03 23:00:00,327.682,0.0031102104290009354,0.4352102089272513,0.09352102089272513
2021-01-04 00:00:00,328.614,0.005963277476076418,0.8344384714471065,0.13344384714471064
2021-01-04 01:00:00,327.98,0.004022457188688206,0.5628604473724474,0.10628604473724475
2021-01-04 02:00:00,326.832,0.0005081643023761176,0.0711071798050403,0.05711071798050403
2021-01-04 03:00:00,327.812,0.003508170424837648,0.4908965545577037,0.09908965545577036
2021-01-04 04:00:00,327.889,0.0037438851916024724,0.5238800054311259,0.10238800054311259
2021-01-04 05:00:00,327.312,0.0019775550562348546,0.2767183021328794,0.07767183021328794
2021-01-04 06:00:00,326.781,0.0003520415347786702,0.04926099805771349,0.05492609980577135
2021-01-04 07:00:00,326.238,-0.0013102067555239825,0.0,0.05
2021-01-04 08:00:00,325.722,-0.002889801815922125,0.0,0.05
2021-01-04 09:00:00,326.916,0.0007653076843013966,0.10708912621241215,0.060708912621241215
2021-01-04 10:00:00,327.198,0.0016285747521933177,0.22788566058000545,0.07278856605800055
2021-01-04 11:00:00,327.01,0.0010530633735987035,0.14735463766827658,0.06473546376682766
2021-01-04 12:00:00,326.787,0.00037040891920181744,0.051831137086799296,0.05518311370867993
2021-01-04 13:00:00,327.018,0.0010775532194962911,0.15078148970706579,0.06507814897070657
2021-01-04 14:00:00,327.625,0.002935720276980167,0.41079388815081436,0.09107938881508143
2021-01-04 15:00:00,327.726,0.0032449045814379285,0.4540578951406285,0.09540578951406284
2021-01-04 16:00:00,329.089,0.007417362076249141,1.0379078112506994,0.15379078112506994
2021-01-04 17:00:00,329.58,0.008920426368217039,1.2482308551318706,0.17482308551318704
2021-01-04 18:00:00,328.344,0.005136745177030965,0.7187822151377091,0.12187822151377091
2021-01-04 19:00:00,328.093,0.004368376261992436,0.6112647324204575,0.11112647324204575
2021-01-04 20:00:00,327.778,0.003404088579772683,0.47633243339281917,0.09763324333928192
2021-01-04 21:00:00,327.387,0.0022071473615252386,0.3088450399965982,0.08088450399965982
2021-01-04 22:00:00,326.471,-0.0005969399937550685,0.0,0.05
2021-01-04 23:00:00,325.951,-0.0021887799771019177,0.0,0.05
2021-01-05 00:00:00,326.036,-0.0019285753644395053,0.0,0.05
2021-01-05 01:00:00,326.516,-0.0004591846105807683,0.0,0.05
2021-01-05 02:00:00,326.92,0.0007775526072502773,0.10880255223181892,0.0608802552231819
2021-01-05 03:00:00,326.512,-0.0004714295335296491,0.0,0.05
2021-01-05 04:00:00,325.59,-0.0032938842732332775,0.0,0.05
