horizon_h,lambda,lambda_percent,mode,ground_truth_leakage,n,n_positive,clean_auc,mixed_auc,auc_delta,auc_delta_ge_0p01,oracle_auc,distance_to_oracle_auc,oracle_proximity,oracle_proximity_alert,future_auc,matched_delta,temporal_passed,forbidden_passed,threshold_fragile,audit_pass_candidate,lamp_detected_leakage,output_classes,forbidden_valid_feature_violations
12,0.02,2.0,strict_declared,True,4836,247,0.6327620264265101,0.6657859006266525,0.03302387420014241,True,1.0,0.33421409937334745,0.0899249984384685,True,0.6446457511934454,0.04361268130948256,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,0.02,2.0,geometry_only,True,4836,247,0.6327620264265101,0.6657859006266525,0.03302387420014241,True,1.0,0.33421409937334745,0.0899249984384685,True,0.6446457511934454,0.04361268130948256,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
12,0.05,5.0,strict_declared,True,4836,247,0.6327620264265101,0.7144721182408559,0.08171009181434574,True,1.0,0.2855278817591441,0.22249902704572658,True,0.6446457511934454,0.06005740549433194,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,0.05,5.0,geometry_only,True,4836,247,0.6327620264265101,0.7144721182408559,0.08171009181434574,True,1.0,0.2855278817591441,0.22249902704572658,True,0.6446457511934454,0.06005740549433194,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
12,0.1,10.0,strict_declared,True,4836,247,0.6327620264265101,0.7898045228733029,0.1570424964467928,True,1.0,0.21019547712669706,0.42763142089761647,True,0.6446457511934454,0.08080035771203053,False,False,False,False,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
12,0.1,10.0,geometry_only,True,4836,247,0.6327620264265101,0.7898045228733029,0.1570424964467928,True,1.0,0.21019547712669706,0.42763142089761647,True,0.6446457511934454,0.08080035771203053,True,True,False,False,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal,
18,0.0,0.0,strict_declared,False,4812,223,0.6248750423854275,0.6248750423854275,0.0,False,1.0,0.37512495761457254,0.0,False,0.6569233114476322,0.024775953145408983,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
18,0.0,0.0,geometry_only,False,4812,223,0.6248750423854275,0.6248750423854275,0.0,False,1.0,0.37512495761457254,0.0,False,0.6569233114476322,0.024775953145408983,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
18,1e-05,0.001,strict_declared,True,4812,223,0.6248750423854275,0.6248887229844813,1.3680599053822462e-05,False,1.0,0.3751112770155187,3.6469445117215546e-05,False,0.6569233114476322,0.024775953145408983,False,False,False,False,True,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,oracle_label_sentinel_score
18,1e-05,0.001,geometry_only,True,4812,223,0.6248750423854275,0.6248887229844813,1.3680599053822462e-05,False,1.0,0.3751112770155187,3.6469445117215546e-05,False,0.6569233114476322,0.024775953145408983,True,True,False,True,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal,
